data,cena
2021-05-01,4.073
2021-05-05,4.100
2021-05-06,4.129
2021-05-07,4.138
2021-05-08,4.126
2021-05-11,4.111
2021-05-12,4.113
2021-05-13,4.124
2021-05-14,4.093
2021-05-15,4.088
2021-05-18,4.095
2021-05-19,4.100
2021-05-20,4.039
2021-05-21,4.042
2021-05-22,4.036
2021-05-25,4.048
2021-05-26,4.050
2021-05-27,4.067
2021-05-28,4.083
2021-05-29,4.113
2021-06-02,4.118
2021-06-03,4.125
2021-06-08,4.144
2021-06-09,4.147
2021-06-10,4.151
2021-06-11,4.180
2021-06-12,4.178
2021-06-15,4.209
2021-06-16,4.226
2021-06-17,4.252
2021-06-18,4.273
2021-06-19,4.307
2021-06-22,4.330
2021-06-23,4.355
2021-06-24,4.379
2021-06-25,4.393
2021-06-26,4.398
2021-06-29,4.394
2021-06-30,4.419
2021-07-01,4.444
2021-07-02,4.465
2021-07-03,4.502
2021-07-06,4.515
2021-07-07,4.493
2021-07-08,4.477
2021-07-09,4.475
2021-07-10,4.530
2021-07-13,4.525
2021-07-14,4.540
2021-07-15,4.572
2021-07-16,4.553
2021-07-17,4.541
2021-07-20,4.507
2021-07-21,4.441
2021-07-22,4.450
2021-07-23,4.447
2021-07-24,4.466
2021-07-27,4.498
2021-07-28,4.535
2021-07-29,4.551
2021-07-30,4.563
2021-07-31,4.570
2021-08-03,4.557
2021-08-04,4.526
2021-08-05,4.505
2021-08-06,4.515
2021-08-07,4.504
2021-08-10,4.493
2021-08-11,4.499
2021-08-12,4.496
2021-08-13,4.497
2021-08-14,4.491
2021-08-17,4.469
2021-08-18,4.449
2021-08-19,4.424
2021-08-20,4.393
2021-08-21,4.355
2021-08-24,4.362
2021-08-25,4.382
2021-08-26,4.429
2021-08-27,4.456
2021-08-28,4.484
2021-09-01,4.501
2021-09-02,4.482
2021-09-03,4.473
2021-09-04,4.484
2021-09-07,4.481
2021-09-08,4.472
2021-09-09,4.466
2021-09-10,4.465
2021-09-11,4.471
2021-09-14,4.473
2021-09-15,4.466
2021-09-16,4.476
2021-09-17,4.479
2021-09-18,4.473
2021-09-21,4.476
2021-09-22,4.454
2021-09-23,4.463
2021-09-24,4.478
2021-09-25,4.516
2021-09-28,4.549
2021-09-29,4.578
2021-09-30,4.617
2021-10-01,4.655
2021-10-02,4.658
2021-10-05,4.681
2021-10-06,4.709
2021-10-07,4.743
2021-10-08,4.735
2021-10-09,4.763
2021-10-12,4.777
2021-10-13,4.781
2021-10-14,4.814
2021-10-15,4.797
2021-10-16,4.806
2021-10-19,4.808
2021-10-20,4.790
2021-10-21,4.795
2021-10-22,4.796
2021-10-23,4.803
2021-10-26,4.826
2021-10-27,4.839
2021-10-28,4.849
2021-10-29,4.859
2021-10-30,4.867
2022-01-01,4.473
2022-01-05,4.470
2022-01-06,4.482
2022-01-08,4.496
2022-01-11,4.498
2022-01-12,4.511
2022-01-13,4.520
2022-01-14,4.527
2022-01-15,4.543
2022-01-18,4.550
2022-01-19,4.558
2022-01-20,4.602
2022-01-21,4.640
2022-01-22,4.632
2022-01-25,4.616
2022-01-26,4.662
2022-01-27,4.751
2022-01-28,4.753
2022-01-29,4.799
2022-02-01,4.807
2022-02-02,4.793
2022-02-03,4.790
2022-02-04,4.791
2022-02-05,4.844
2022-02-08,4.867
2022-02-09,4.834
2022-02-10,4.832
2022-02-11,4.868
2022-02-12,4.917
2022-02-15,5.018
2022-02-16,4.955
2022-02-17,4.948
2022-02-18,4.928
2022-02-19,4.927
2022-02-22,4.937
2022-02-23,4.977
2022-02-24,4.982
